sectionID,highway,section,sectionLength,sectionDescription,date,description,group,type,county,ptrucks,adt,direction
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2022-06-20,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2986,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2021-05-27,JUST WEST OF PATTON RD (WB),A,VC,HFX,4,1774,W
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2021-05-27,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2733,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2021-05-27,JUST WEST OF PATTON RD (EB),A,VC,HFX,4,1396,E
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2020-11-24,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2350,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2019-09-09,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2566,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2018-11-01,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2312,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2017-07-06,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,4,1466,W
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2017-06-07,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,3,1383,E
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2016-09-19,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2590,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2015-09-28,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2195,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2013-09-16,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2579,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2012-10-22,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2381,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2011-10-13,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2241,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2009-11-12,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,8,981,E
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2009-11-12,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,8,1012,W
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2008-10-20,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,4,1016,W
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2008-10-20,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,4,965,E
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,2007-08-01,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2769,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),2023-07-13,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,7107,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),2022-06-20,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,7104,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),2021-04-21,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,6023,
