SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,07/13/2023,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,3039,2650,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,06/20/2022,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2986,2760,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,JUST WEST OF PATTON RD (WB),A,VC,HFX,4,1774,1350,W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2733,2550,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,JUST WEST OF PATTON RD (EB),A,VC,HFX,4,1396,1310,E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/24/2020,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2350,2460,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/09/2019,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2566,2430,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/01/2018,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2312,2320,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,07/06/2017,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,4,1466,1300,W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,06/07/2017,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,3,1383,1230,E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/19/2016,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2590,2440,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/28/2015,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2195,2100,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/16/2013,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2579,2430,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/22/2012,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2381,2330,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/13/2011,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2241,2160,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/12/2009,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,8,981,1000,E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/12/2009,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,8,1012,1030,W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/20/2008,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,4,1016,1000,W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/20/2008,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,4,965,950,E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,08/01/2007,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2769,2450,,,
